Year,Leading Cause,Sex,Race Ethnicity,Fatality
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,66
2007,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.
2010,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,34
2012,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,416
2009,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,17
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,40
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077
2008,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,473
2013,All Other Causes,F,Other Race/ Ethnicity,39
2008,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,.
2009,All Other Causes,M,White Non-Hispanic,1818
2012,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,292
2007,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,372
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199
2011,All Other Causes,M,Hispanic,1207
2008,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,347
2008,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,21
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,170
2011,Tuberculosis (A16-A19),F,Not Stated/Unknown,.
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,204
2010,Septicemia (A40-A41),F,White Non-Hispanic,107
2007,Septicemia (A40-A41),F,Hispanic,49
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,90
2012,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3256
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,108
2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,48
2010,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,64
2013,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,427
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,272
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,71
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,286
2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,150
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,61
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,184
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,456
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,82
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,96
2007,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,61
2014,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3142
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,132
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,209
2010,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6
2010,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,86
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,168
2010,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,276
2013,Alzheimer's Disease (G30),F,Not Stated/Unknown,8
2014,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,18
2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Other Race/ Ethnicity,.
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,8
2013,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,99
2012,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3184
2008,All Other Causes,M,Black Non-Hispanic,1216
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,71
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,39
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.
2012,All Other Causes,M,Black Non-Hispanic,1320
2008,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,60
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,136
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113
2014,Alzheimer's Disease (G30),F,Hispanic,142
2008,All Other Causes,F,Not Stated/Unknown,42
2010,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,258
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2068
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,5
2012,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,11
2011,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1590
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,149
2011,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,36
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,220
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,36
2014,Alzheimer's Disease (G30),F,White Non-Hispanic,276
2013,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,6
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,183
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,.
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6836
2009,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,227
2008,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,52
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.
2012,All Other Causes,F,Hispanic,1109
2007,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,34
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,6
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,254
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.
2009,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,.
2010,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,25
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,92
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,152
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,12
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,248
2010,Atherosclerosis (I70),F,Not Stated/Unknown,.
2014,All Other Causes,F,Black Non-Hispanic,1536
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,75
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Other Race/ Ethnicity,.
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,6
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,169
2009,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3236
2009,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,191
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,148
